media_id,media_type,character_name,actor_name,gender,order
19404,movie,Raj Malhotra,Shah Rukh Khan,M,1
19404,movie,Simran Singh,Kajol,F,2
19404,movie,Chaudhry Baldev Singh,Amrish Puri,M,3
19404,movie,Dharamvir Malhotra,Anupam Kher,M,5
19404,movie,Simran's Grandmother,Achala Sachdev,F,7
19404,movie,Simran's Aunt,Himani Shivpuri,F,8
278,movie,Andy Dufresne,Tim Robbins,M,1
278,movie,"Ellis Boyd ""Red"" Redding",Morgan Freeman,M,2
278,movie,Warden Samuel Norton,Bob Gunton,M,3
278,movie,1954 Landlady,Dorothy Silver,F,31
278,movie,Bank Teller,Claire Slemmer,F,35
238,movie,Don Vito Corleone,Marlon Brando,M,1
238,movie,Michael Corleone,Al Pacino,M,2
238,movie,Santino 'Sonny' Corleone,James Caan,M,3
238,movie,Kay Adams,Diane Keaton,F,10
238,movie,Connie Corleone Rizzi,Talia Shire,F,12
238,movie,Mama Corleone,Morgana King,F,17
372058,movie,Taki Tachibana (voice),Ryunosuke Kamiki,M,1
372058,movie,Mitsuha Miyamizu (voice),Mone Kamishiraishi,F,2
372058,movie,Miki Okudera (voice),Masami Nagasawa,F,3
372058,movie,Hitoha Miyamizu (voice),Etsuko Ichihara,F,4
372058,movie,Katsuhiko Teshigawara (voice),Ryou Narita,M,5
372058,movie,Tsukasa Fuji (voice),Nobunaga Shimazaki,M,7
424,movie,Oskar Schindler,Liam Neeson,M,1
424,movie,Itzhak Stern,Ben Kingsley,M,2
424,movie,Amon Göth,Ralph Fiennes,M,3
424,movie,Emilie Schindler,Caroline Goodall,F,4
424,movie,Helen Hirsch,Embeth Davidtz,F,6
424,movie,Wiktoria Klonowska,Malgorzata Gebel,F,7
324857,movie,Miles Morales / Spider-Man (voice),Shameik Moore,M,1
324857,movie,Peter B. Parker / Spider-Man (voice),Jake Johnson,M,2
324857,movie,Gwen Stacy / Spider-Woman (voice),Hailee Steinfeld,F,3
324857,movie,Aaron Davis / Prowler (voice),Mahershala Ali,M,4
324857,movie,May Parker (voice),Lily Tomlin,F,6
324857,movie,Rio Morales (voice),Lauren Vélez,F,7
240,movie,Don Michael Corleone,Al Pacino,M,1
240,movie,Tom Hagen,Robert Duvall,M,2
240,movie,Kay Corleone,Diane Keaton,F,3
