Unnamed: 0,name,gender,count,year
0,Mary,F,7065,1880
1,Anna,F,2604,1880
21,Mabel,F,808,1880
25,Julia,F,783,1880
32,Ada,F,652,1880
34,Helen,F,636,1880
50,Dora,F,524,1880
54,Marie,F,471,1880
56,May,F,462,1880
61,Nancy,F,410,1880
74,Caroline,F,306,1880
101,Irene,F,204,1880
108,Rachel,F,166,1880
109,Sara,F,165,1880
127,Barbara,F,127,1880
130,Maria,F,125,1880
136,Marion,F,115,1880
153,Beatrice,F,87,1880
158,Sophie,F,83,1880
227,Emilie,F,46,1880
228,John,F,46,1880
244,Polly,F,41,1880
256,Lila,F,36,1880
353,Claire,F,21,1880
406,Donna,F,17,1880
461,Melinda,F,14,1880
479,Jenny,F,13,1880
496,Connie,F,12,1880
514,Robert,F,12,1880
640,Elena,F,8,1880
646,Faye,F,8,1880
674,Walter,F,8,1880
704,Jessica,F,7,1880
842,Arthur,F,5,1880
856,Elaine,F,5,1880
876,Jesse,F,5,1880
942,John,M,9655,1880
951,Robert,M,2415,1880
952,Edward,M,2364,1880
954,Walter,M,1755,1880
955,Arthur,M,1599,1880
964,Richard,M,728,1880
969,Jesse,M,569,1880
971,Lewis,M,517,1880
972,Peter,M,496,1880
976,Alfred,M,469,1880
977,Sam,M,457,1880
981,Tom,M,399,1880
987,Michael,M,354,1880
990,Jim,M,345,1880
1001,Paul,M,301,1880
1012,Hugh,M,224,1880
1021,Marion,M,189,1880
1040,Jerry,M,136,1880
1072,Aaron,M,102,1880
1074,Norman,M,102,1880
1084,Mike,M,95,1880
1101,Mark,M,85,1880
1150,Andy,M,58,1880
1151,Ellis,M,58,1880
1158,Miles,M,54,1880
1182,Bruce,M,47,1880
1202,Tony,M,42,1880
1207,Vincent,M,41,1880
1221,Forrest,M,36,1880
1225,Don,M,34,1880
1273,Mary,M,27,1880
1394,Jules,M,16,1880
1445,Young,M,14,1880
1461,Rodney,M,13,1880
1470,Anna,M,12,1880
1703,Connie,M,7,1880
1743,Tyler,M,7,1880
1784,Dora,M,6,1880
1892,Eliseo,M,5,1880
1908,Gregory,M,5,1880
1989,Tommy,M,5,1880
0,Mary,F,6919,1881
1,Anna,F,2698,1881
22,Mabel,F,893,1881
29,Julia,F,737,1881
40,Ada,F,628,1881
42,Helen,F,612,1881
45,Dora,F,585,1881
53,Marie,F,499,1881
57,May,F,451,1881
58,Nancy,F,429,1881
72,Caroline,F,316,1881
101,Irene,F,206,1881
113,Rachel,F,157,1881
116,Sara,F,147,1881
123,Barbara,F,130,1881
131,Maria,F,120,1881
142,Marion,F,110,1881
155,Beatrice,F,87,1881
170,Sophie,F,78,1881
224,Polly,F,48,1881
244,Lila,F,42,1881
262,Emilie,F,38,1881
312,John,F,26,1881
338,Claire,F,23,1881
436,Donna,F,15,1881
