Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0076759,2012-03-01,2012-03-06,"Lightsabers, the score, The Empire, Darth Vader, Obi Wan, ""droids,"" The Force, Han and Chewie, Leia's hair, the scrolling text, ""I got a bad feeling about this,"" and the Millenium Falcon. Every thing about this movie is iconic.",Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1103592,1977-05-25,George Lucas
2,tt0080684,2012-03-01,2012-03-06,"Yoda, the Empire, the Imperial March, ""I am your father,"" Hoth, the Emperor, Lando Calrisian, Boba Fett, ""I know,"" and carbonite.",Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,movie,8.8,124,1980,"Action, Adventure, Fantasy, Sci-Fi",1033764,1980-05-17,Irvin Kershner
3,tt0082971,2012-03-01,2012-03-06,"The theme, the look, the whip, ""I hate snakes,"" shooting in the bazaar, the boulder scene, and melting Nazis.",Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.5,115,1981,"Action, Adventure",798244,1981-06-12,Steven Spielberg
4,tt0032138,2012-03-01,2012-03-06,"""Somewhere Over the Rainbow,"" ruby slippers, the scarecrow, the Wicked Witch of the West, the Emerald City, Dorothy's dress, and the transition form sepia to Technicolor.",The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",347716,1939-08-11,"Mervyn LeRoy, King Vidor, George Cukor, Norman Taurog, Victor Fleming"
5,tt0025316,2012-03-01,2012-03-06,"Stopping a taxi with legs, the plot, the undressing scene, the Walls of Jericho, and the inspiration for Bugs Bunny.",It Happened One Night,https://www.imdb.com/title/tt0025316/,movie,8.1,105,1934,"Comedy, Romance",83587,1934-02-22,Frank Capra
6,tt0120338,2012-03-01,2012-03-06,"""My Heart will go On,"" the breaking of the ship, the band, the score, ""I'm king of the world,"" and the sinking.",Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",940133,1997-11-01,James Cameron
7,tt0054698,2012-03-01,2012-03-06,"""Moon River"" and Audrey's dress.",Breakfast at Tiffany's,https://www.imdb.com/title/tt0054698/,movie,7.7,115,1961,"Comedy, Drama, Romance",149473,1961-10-05,Blake Edwards
8,tt0038650,2012-03-01,2012-03-06,"""Merry Christmas Bedford Falls,"" Clarence the guardian angel, Mr. Potter, ""I wish I had never been born,"" ringing bells and angel wings, richest man in town; it's the ultimate Christmas movie.",It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",350714,1946-12-20,Frank Capra
9,tt0024216,2012-03-01,2012-03-06,"""'twas beauty killed the beast,"" the image of Kong atop the Empire State Building, and a powerful score propel the lasting image of this movie",King Kong,https://www.imdb.com/title/tt0024216/,movie,7.9,100,1933,"Adventure, Horror, Sci-Fi",72939,1933-03-02,"Ernest B. Schoedsack, Merian C. Cooper"
10,tt0021814,2012-03-01,2012-03-06,"Bela Legosi's portayal of the Counter is easily the most iconic. ""Listen to them, children of the night. What music they make!""",Dracula,https://www.imdb.com/title/tt0021814/,movie,7.6,75,1931,"Fantasy, Horror",40625,1931-02-12,Tod Browning
11,tt0021884,2012-03-01,2012-03-06,"The bolts, the fire, ""It's alive!"" This movie defined the monster film.",Frankenstein,https://www.imdb.com/title/tt0021884/,movie,7.9,70,1931,"Drama, Horror, Sci-Fi",57810,1931-11-21,James Whale
12,tt0068646,2012-03-01,2012-03-06,"The score, the logo, the horse head in the sheets, ""I'm gonna make him an offer he can't refuse,"" the wedding, the exploding car, and Michael Corleone becoming the new godfather. A film that everyone can quote.",The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1413049,1972-03-14,Francis Ford Coppola
