media_id,media_type,character_name,actor_name,gender,order
64513,tv,Andrew Cunanan,Darren Criss,M,1
64513,tv,Gianni Versace,Edgar Ramírez,M,2
64513,tv,Antonio D'Amico,Ricky Martin,M,3
64513,tv,Donatella Versace,Penélope Cruz,F,4
328387,movie,Vee Delmonico,Emma Roberts,F,1
328387,movie,Ian,Dave Franco,M,2
328387,movie,Sydney Sloane,Emily Meade,F,3
328387,movie,Tommy Mancuso,Miles Heizer,M,4
328387,movie,Nancy Delmonico,Juliette Lewis,F,5
328387,movie,Ty,Machine Gun Kelly,M,7
1948,tv,Connor DeLaurier,A.J. Saudin,M,84
1948,tv,Michael 'Mike' Dallas,Demetrius Joyette,M,92
1948,tv,Imogen Moreno,Cristine Prosperi,F,92
1948,tv,Drew Torres,Luke Bilyk,M,92
1948,tv,Jack Jones,Niamh Wilson,F,92
1948,tv,Jenna Middleton,Jessica Tyler,F,92
68716,tv,Blackagar Boltagon / Black Bolt,Anson Mount,M,1
68716,tv,Medusalith Amaquelin / Medusa,Serinda Swan,F,2
68716,tv,Maximus Boltagon,Iwan Rheon,M,3
68716,tv,Crystalia Amaquelin / Crystal,Isabelle Cornish,F,4
68716,tv,Karnak Mander-Azur / Karnak,Ken Leung,M,5
68716,tv,Louise,Ellen Woglom,F,8
114750,movie,Samantha White,Tessa Thompson,F,1
114750,movie,Lionel Higgins,Tyler James Williams,M,2
114750,movie,Kurt Fletcher,Kyle Gallner,M,3
114750,movie,Colandrea Conners,Teyonah Parris,F,4
114750,movie,Troy Fairbanks,Brandon P. Bell,M,5
114750,movie,Sophie Fletcher,Brittany Curran,F,7
65988,tv,Wynonna Earp,Melanie Scrofano,F,1
65988,tv,"John Henry ""Doc"" Holliday",Tim Rozon,M,3
65988,tv,Waverly Earp,Dominique Provost-Chalkley,F,4
65988,tv,Nicole Haught,Katherine Barrell,F,20
65988,tv,Jeremy Chetri,Varun Saranga,M,501
546564,movie,Prairie Johnson,Brit Marling,F,2
546564,movie,Homer Roberts,Emory Cohen,M,3
546564,movie,Abel Johnson,Scott Wilson,M,4
546564,movie,Elizabeth Broderick-Allen,Phyllis Smith,F,5
546564,movie,Nancy Johnson,Alice Krige,F,6
546564,movie,Steve Winchell,Patrick Gibson,M,7
62285,tv,Matt Murdock / Daredevil,Charlie Cox,M,1
62285,tv,Jessica Jones,Krysten Ritter,F,2
62285,tv,Luke Cage,Mike Colter,M,3
62285,tv,Danny Rand / Iron Fist,Finn Jones,M,4
62285,tv,Elektra Natchios / Elektra,Élodie Yung,F,5
62285,tv,Colleen Wing,Jessica Henwick,F,6
48865,tv,Mary Stuart,Adelaide Kane,F,1
48865,tv,Catherine de' Medici,Megan Follows,F,3
48865,tv,Greer,Celina Sinden,F,9
48865,tv,Stéphane Narcisse,Craig Parker,M,9
48865,tv,Gideon Blackburn,Ben Geurens,M,501
48865,tv,Charles IX of France,Spencer MacPherson,M,501
46639,tv,Shadow Moon,Ricky Whittle,M,1
46639,tv,Mr. Wednesday,Ian McShane,M,2
46639,tv,Laura Moon,Emily Browning,F,3
46639,tv,Mad Sweeney,Pablo Schreiber,M,4
2957,tv,"Uncle ""Traveling"" Matt",Dave Goelz,M,1
2957,tv,,Bob Stutt,M,2
2957,tv,,Fulton Mackay,M,3
2957,tv,,Kathryn Mullen,F,6
2957,tv,,Karen Prell,F,19
66149,tv,Bubbles,Kristen Li,M,4
66149,tv,Princess Morbucks,Haley Mancini,M,6
66149,tv,Blossom,Amanda Leighton,F,501
66149,tv,Buttercup,Natalie Palamides,M,501
2405,tv,Johnny Bravo (voice),Jeff Bennett,M,1
2405,tv,Bunny Bravo (voice),Brenda Vaccaro,F,2
2405,tv,Little Suzy (voice),Mae Whitman,F,3
2405,tv,Pops (voice),Larry Drake,M,5
2085,tv,Muriel Bagge (voice),Thea White,M,1
2085,tv,Courage (voice),Marty Grabstein,M,2
2085,tv,The Computer (voice),Simon Prebble,M,3
2660,tv,Numbuh 2 (voice),Ben Diskin,M,1
2660,tv,Numbuh 3 (voice),Lauren Tom,F,2
2660,tv,Numbuh 4 (voice),Dee Bradley Baker,M,3
2660,tv,Numbuh 5 (voice),Cree Summer,F,4
4459,tv,Waldorf,Jim Henson,M,1
4459,tv,Fozzie Bear,Frank Oz,M,2
4459,tv,Gonzo,Dave Goelz,M,3
4459,tv,,Kathryn Mullen,F,8
4459,tv,,Karen Prell,F,11
1546,tv,Vince LaSalle (voice),Rickey D'Shon Collins,M,1
1546,tv,Michael 'Mikey' Blumberg (voice),Jason Davis,M,2
1546,tv,Spinelli (voice),Pamela Adlon,F,3
1546,tv,Gretchen Grundler (voice),Ashley Johnson,F,4
1546,tv,Gus Griswald (voice),Courtland Mead,M,5
926,tv,Shaggy,Casey Kasem,M,1
926,tv,Velma,Nicole Jaffe,M,2
926,tv,Scooby Doo,Don Messick,M,3
926,tv,,Susan Blu,F,11
1720,tv,Eduardo (voice),Tom Kenny,M,1
1720,tv,Blooregard (voice),Keith Ferguson,M,2
1720,tv,Coco (voice),Candi Milo,M,3
1720,tv,Frances 'Frankie' Foster (voice),Grey DeLisle,F,7
1720,tv,Terrence (voice),Tara Strong,F,8
897,tv,Grim (voice),Greg Eagles,M,501
897,tv,Billy (voice),Richard Steven Horvitz,M,501
897,tv,Mandy (voice),Grey DeLisle,F,501
897,tv,Irwin (voice),Vanessa Marshall,F,501
4630,tv,Cosmo (voice),Daran Norris,M,3
4630,tv,Denzel Q. Crocker (voice),Carlos Alazraqui,M,4
4630,tv,Vicky (voice),Grey DeLisle,F,5
4630,tv,Chet Ubetcha (voice),Jim Ward,M,6
4630,tv,Timmy Turner,Tara Strong,F,501
4630,tv,Wanda,Susanne Blakeslee,F,501
3022,tv,Angelica Pickles (voice),Cheryl Chase,F,1
3022,tv,Stu Pickles (voice),Jack Riley,M,2
3022,tv,Grandpa Lou Pickles (voice),David Doyle,M,3
3022,tv,Didi Pickles (voice),Melanie Chartoff,F,4
3022,tv,Drew Pickles (voice),Michael Bell,M,5
3022,tv,Tommy Pickles (voice),Elizabeth Daily,F,6
607,tv,Ms. Keane,Jennifer Hale,F,2
607,tv,Bubbles,Tara Strong,F,3
607,tv,Mojo Jojo,Roger L. Jackson,M,4
607,tv,Professor Utonium,Tom Kane,M,5
607,tv,Buttercup,Elizabeth Daily,F,6
607,tv,Sara Bellum,Jennifer Martin,M,8
2309,tv,Danny Phantom,David Kaufman,M,1
2309,tv,Jazz Fenton,Colleen O'Shaughnessey,F,2
2309,tv,"Samantha ""Sam"" Manson",Grey DeLisle,F,3
2309,tv,Tucker Foley,Rickey D'Shon Collins,M,4
2309,tv,Jack Fenton,Rob Paulsen,M,5
2309,tv,Madeline Fenton,Kath Soucie,F,6
606,tv,Eddy,Tony Sampson,M,1
606,tv,Edd,Sam Vincent,M,2
606,tv,,Buck,M,6
606,tv,,Janyse Jaud,F,7
606,tv,,Tabitha St. Germain,F,11
2723,tv,Samurai Jack,Phil LaMarr,M,501
2723,tv,Aku,Mako,M,501
537,tv,Arnold (voice),Spencer Klein,M,1
537,tv,Gerald Johanssen (voice),Jamil Walker Smith,M,2
537,tv,Helga Pataki (voice),Francesca Smith,F,3
537,tv,Harold Berman (voice),Justin Shenkarow,M,501
537,tv,Phoebe Heyerdahl (voice),Anndi McAfee,F,501
2345,tv,Kim Possible (voice),Christy Carlson Romano,F,1
2345,tv,Ron Stoppable (voice),Will Friedle,M,2
2345,tv,Shego (voice),Nicole Sullivan,F,3
2345,tv,Dr. Drakken (voice),John DiMaggio,M,4
2345,tv,Wade (voice),Tahj Mowry,M,5
2345,tv,Rufus (voice),Nancy Cartwright,F,6
1425,tv,Claire Underwood,Robin Wright,F,2
1425,tv,Doug Stamper,Michael Kelly,M,3
1425,tv,,Cody Fern,M,501
1425,tv,,Diane Lane,F,501
1425,tv,,Greg Kinnear,M,501
71769,tv,Dr. Laszlo Kreizler,Daniel Brühl,M,1
71769,tv,John Moore,Luke Evans,M,2
71769,tv,Sara Howard,Dakota Fanning,F,3
71769,tv,Theodore Roosevelt,Brian Geraghty,M,4
71769,tv,Mary Palmer,Q'orianka Kilcher,F,10
71769,tv,Mrs. Van Bergen,Sean Young,F,11
1104,tv,Don Draper,Jon Hamm,M,1
1104,tv,Peggy Olson,Elisabeth Moss,F,2
1104,tv,Pete Campbell,Vincent Kartheiser,M,3
1104,tv,Betty Draper,January Jones,F,4
1104,tv,Joan Holloway,Christina Hendricks,F,5
1104,tv,Ken Cosgrove,Aaron Staton,M,6
72745,tv,Dylan Reinhart,Alan Cumming,M,1
72745,tv,Elizabeth 'Lizzie' Needham,Bojana Novaković,F,2
72745,tv,Andy,Daniel Ings,M,3
72745,tv,Julian Cousins,Naveen Andrews,M,4
72745,tv,Jasmine Gooden,Sharon Leal,F,5
60059,tv,Jimmy McGill,Bob Odenkirk,M,1
60059,tv,Mike Ehrmantraut,Jonathan Banks,M,2
60059,tv,Howard Hamlin,Patrick Fabian,M,3
60059,tv,Kim Wexler,Rhea Seehorn,F,4
1408,tv,Gregory House,Hugh Laurie,M,1
1408,tv,Eric Foreman,Omar Epps,M,2
1408,tv,James Wilson,Robert Sean Leonard,M,3
1408,tv,Jessica Adams,Odette Annable,F,6
1408,tv,Chi Park,Charlyne Yi,F,7
1408,tv,"Remy ""Thirteen"" Hadley",Olivia Wilde,F,8
67136,tv,Jack Pearson,Milo Ventimiglia,M,1
67136,tv,Rebecca Pearson,Mandy Moore,F,2
67136,tv,Randall Pearson,Sterling K. Brown,M,3
67136,tv,Kate Pearson,Chrissy Metz,F,4
67136,tv,Kevin Pearson,Justin Hartley,M,5
67136,tv,Beth Pearson,Susan Kelechi Watson,F,6
65494,tv,Queen Elizabeth II,Claire Foy,F,1
65494,tv,"Philip Mountbatten, Duke of Edinburgh",Matt Smith,M,2
65494,tv,Princess Margaret,Vanessa Kirby,F,3
65494,tv,Queen Elizabeth the Queen Mother,Victoria Hamilton,F,4
65494,tv,Sir Winston Churchill,John Lithgow,M,5
65494,tv,King George VI,Jared Harris,M,6
72787,tv,Patrick Melrose,Benedict Cumberbatch,M,1
72787,tv,Eleanor Melrose,Jennifer Jason Leigh,F,2
72787,tv,David Melrose,Hugo Weaving,M,3
72787,tv,Julia,Jessica Raine,F,4
72787,tv,Nicholas Pratt,Pip Torrens,M,5
72787,tv,Mary Melrose,Anna Madeley,F,6
62852,tv,Chuck Rhoades,Paul Giamatti,M,1
62852,tv,"Bobby ""Axe"" Axelrod",Damian Lewis,M,2
62852,tv,Wendy Rhoades,Maggie Siff,F,3
62852,tv,Bryan Connerty,Toby Leonard Moore,M,4
62852,tv,Kate Sacker,Condola Rashad,F,6
69050,tv,Archie Andrews,K.J. Apa,M,1
69050,tv,Veronica Lodge,Camila Mendes,F,2
69050,tv,Betty Cooper,Lili Reinhart,F,3
69050,tv,Jughead Jones,Cole Sprouse,M,4
69050,tv,Cheryl Blossom,Madelaine Petsch,F,5
69050,tv,Fred Andrews,Luke Perry,M,6
66788,tv,Clay Jensen,Dylan Minnette,M,1
66788,tv,Hannah Baker,Katherine Langford,F,2
66788,tv,Tony Padilla,Christian Navarro,M,3
66788,tv,Jessica Davis,Alisha Boe,F,4
66788,tv,Justin Foley,Brandon Flynn,M,5
66788,tv,Sheri Holland,Ajiona Alexus,F,9
549,tv,Cyrus Lupo,Jeremy Sisto,M,1
549,tv,Michael Cutter,Linus Roache,M,2
549,tv,Kevin Bernard,Anthony Anderson,M,3
549,tv,Connie Rubirosa,Alana de la Garza,F,4
549,tv,Anita Van Buren,S. Epatha Merkerson,F,5
67744,tv,Holden Ford,Jonathan Groff,M,1
67744,tv,Bill Tench,Holt McCallany,M,2
67744,tv,Debbie Mitford,Hannah Gross,F,3
67744,tv,ADT Serviceman,Sonny Valicenti,M,4
67744,tv,Wendy Carr,Anna Torv,F,5
39269,tv,Olivia Pope,Kerry Washington,F,1
39269,tv,Abby Whelan,Darby Stanchfield,F,2
39269,tv,Huck,Guillermo Díaz,M,3
39269,tv,Cyrus Beene,Jeff Perry,M,4
39269,tv,David Rosen,Joshua Malina,M,5
39269,tv,Quinn Perkins,Katie Lowes,F,6
69740,tv,Marty Byrde,Jason Bateman,M,1
69740,tv,Wendy Byrde,Laura Linney,F,2
69740,tv,Charlotte Byrde,Sofia Hublitz,F,3
69740,tv,Jonah Byrde,Skylar Gaertner,M,4
69740,tv,Rachel Garrison,Jordana Spiro,F,5
69740,tv,Roy Petty,Jason Butler Harner,M,6
2734,tv,Olivia Benson,Mariska Hargitay,F,1
2734,tv,Fin Tutuola,Ice-T,M,2
2734,tv,Amanda Rollins,Kelli Giddish,F,26
2734,tv,"Detective Dominick 'Sonny' Carisi, Jr.",Peter Scanavino,M,29
2734,tv,Peter Stone,Philip Winchester,M,1947
62710,tv,Kurt Weller,Sullivan Stapleton,M,1
62710,tv,Jane Doe,Jaimie Alexander,F,2
62710,tv,Edgar Reade,Rob Brown,M,3
62710,tv,Tasha Zapata,Audrey Esparza,F,4
62710,tv,Patterson,Ashley Johnson,F,5
62710,tv,Rich Dotcom,Ennis Esmer,M,260
33907,tv,Robert Crawley,Hugh Bonneville,M,1
33907,tv,Violet Crawley,Maggie Smith,F,2
33907,tv,Mary Crawley,Michelle Dockery,F,3
33907,tv,Mr. Carson,Jim Carter,M,4
33907,tv,Edith Crawley,Laura Carmichael,F,5
33907,tv,John Bates,Brendan Coyle,M,8
1419,tv,Richard Castle,Nathan Fillion,M,1
1419,tv,Kate Beckett,Stana Katic,F,2
1419,tv,Javier Esposito,Jon Huertas,M,3
1419,tv,Kevin Ryan,Seamus Dever,M,4
1419,tv,Martha Rodgers,Susan Sullivan,F,5
1419,tv,Lanie Parish,Tamala Jones,F,6
4588,tv,Abby Lockhart,Maura Tierney,F,1
4588,tv,Neela Rasgotra,Parminder Nagra,F,2
4588,tv,Archie Morris,Scott Grimes,M,3
4588,tv,Samantha Taggart,Linda Cardellini,F,4
4588,tv,Tony Gates,John Stamos,M,5
4588,tv,Simon Brenner,David Lyons,M,7
56570,tv,Claire Randall,Caitriona Balfe,F,1
56570,tv,Jamie Fraser,Sam Heughan,M,2
56570,tv,Roger Wakefield,Richard Rankin,M,231
56570,tv,Brianna Randall,Sophie Skelton,F,501
56570,tv,Ian Fraser Murray,John Bell,M,501
1416,tv,Dr. Meredith Grey,Ellen Pompeo,F,1
1416,tv,Dr. Alex Karev,Justin Chambers,M,2
1416,tv,Dr. Richard Webber,James Pickens Jr.,M,3
1416,tv,Dr. Miranda Bailey,Chandra Wilson,F,4
1416,tv,Dr. Owen Hunt,Kevin McKidd,M,5
1416,tv,Dr. Amelia Shepherd,Caterina Scorsone,F,6
68467,tv,Ezequiel,João Miguel,M,1
68467,tv,Michele,Bianca Comparato,F,2
68467,tv,Fernando,Michel Gomes,M,3
68467,tv,Joana,Vaneza Oliveira,F,4
68467,tv,Rafael,Rodolfo Valente,M,5
68467,tv,Glória,Cynthia Senek,F,11
655,tv,Jean-Luc Picard,Patrick Stewart,M,1
655,tv,William T. Riker,Jonathan Frakes,M,2
655,tv,Data,Brent Spiner,M,3
655,tv,Deanna Troi,Marina Sirtis,F,5
655,tv,Beverly Crusher,Gates McFadden,F,7
655,tv,Lieutenant Ro Laren,Michelle Forbes,F,740
71663,tv,Jefferson Pierce / Black Lightning,Cress Williams,M,1
71663,tv,Jennifer Pierce,China Anne McClain,F,2
71663,tv,Lynn Pierce,Christine Adams,F,3
71663,tv,Anissa Pierce / Thunder,Nafessa Williams,F,4
71663,tv,Tobias Whale,Marvin 'Krondon' Jones III,M,6
71663,tv,Khalil Payne,Jordan Calloway,M,6
67178,tv,Frank Castle,Jon Bernthal,M,1
67178,tv,Billy Russo,Ben Barnes,M,3
67178,tv,Dinah Madani,Amber Rose Revah,F,4
67178,tv,Curtis Hoyle,Jason R. Moore,M,5
67178,tv,Dr. Krista Dumont,Floriana Lima,F,7
67178,tv,Amy Bendix,Giorgia Whigham,F,501
69478,tv,Offred,Elisabeth Moss,F,1
69478,tv,Serena Joy Waterford,Yvonne Strahovski,F,2
69478,tv,Commander Fred Waterford,Joseph Fiennes,M,3
69478,tv,Nick Blaine,Max Minghella,M,4
69478,tv,Moira,Samira Wiley,F,5
69478,tv,Luke Bankole,O.T. Fagbenle,M,7
76438,tv,Luke O'Neil,Jahi Di'Allo Winston,M,1
76438,tv,Kate Messner,Peyton Kennedy,F,2
76438,tv,Ken Messner,Patch Darragh,M,3
76438,tv,Sherry O'Neil,Claudine Mboligikpelani Nako,F,4
76438,tv,Tyler Bowen,Quinn Liebling,M,5
76438,tv,Emaline Addario,Sydney Sweeney,F,8
64254,tv,Dev,Aziz Ansari,M,1
64254,tv,Arnold,Eric Wareheim,M,2
64254,tv,Francesca,Alessandra Mastronardi,F,3
64254,tv,Denise,Lena Waithe,F,4
64254,tv,Ramesh,Shoukath Ansari,M,501
62687,tv,Brian Finch,Jake McDorman,M,1
62687,tv,Rebecca Harris,Jennifer Carpenter,F,2
62687,tv,Spellman Boyle,Hill Harper,M,3
