running_id,10km,17km,gross_time,net_time
6081,00:32:03,00:55:31,01:08:35,01:08:34
5,00:32:03,00:56:05,01:09:35,01:09:34
2822,00:33:40,00:58:53,01:13:06,01:13:04
10310,00:34:47,01:00:26,01:14:30,01:14:27
6167,00:34:47,01:00:27,01:14:39,01:14:38
4602,00:34:45,01:00:27,01:15:08,01:15:06
2841,00:33:57,01:00:34,01:15:19,01:15:18
10211,00:35:34,01:01:21,01:15:37,01:15:35
4450,00:34:47,01:01:02,01:15:48,01:15:46
851,00:35:20,01:01:35,01:16:16,01:16:14
3138,00:35:18,01:01:42,01:16:34,01:16:28
6316,00:36:04,01:02:05,01:16:45,01:16:42
10943,00:36:03,01:02:04,01:16:46,01:16:43
7060,00:36:56,01:02:56,01:16:58,01:16:55
529,00:36:01,01:02:10,01:17:03,01:17:01
1319,00:36:04,01:02:48,01:17:29,01:17:26
4342,00:36:18,01:02:49,01:17:32,01:17:30
5430,00:36:32,01:02:54,01:17:35,01:17:31
1863,00:35:54,01:02:21,01:17:35,01:17:32
10129,00:36:47,01:03:16,01:17:58,01:17:56
6314,00:36:05,01:02:57,01:17:58,01:17:56
11,00:36:52,01:03:16,01:18:13,01:18:12
7268,00:36:51,01:03:15,01:18:14,01:18:13
10855,00:36:47,01:03:23,01:18:16,01:18:14
6034,00:37:32,01:04:23,01:18:58,01:18:53
4385,00:37:03,01:04:15,01:19:04,01:19:01
3279,00:37:03,01:04:10,01:19:06,01:19:01
2642,00:37:30,01:04:48,01:19:35,01:19:29
4465,00:36:31,01:04:33,01:19:58,01:19:54
10978,00:38:02,01:05:08,01:20:04,01:20:02
10751,00:38:07,01:05:09,01:20:05,01:20:03
5990,00:39:11,01:05:57,01:20:28,01:20:17
10465,00:38:01,01:05:12,01:20:22,01:20:20
4290,00:36:40,01:04:27,01:20:33,01:20:27
6351,00:38:20,01:05:56,01:20:37,01:20:31
5299,00:37:34,01:05:12,01:20:39,01:20:37
6130,00:37:34,01:05:12,01:20:39,01:20:37
5788,00:37:34,01:05:14,01:20:42,01:20:38
5995,00:37:18,01:05:19,01:20:55,01:20:50
10379,00:37:09,01:05:08,01:21:05,01:21:01
10894,00:36:57,01:05:24,01:21:05,01:21:03
2934,00:38:56,01:06:37,01:21:41,01:21:37
4551,00:37:52,01:06:06,01:21:53,01:21:51
10304,00:37:38,01:06:19,01:22:00,01:21:54
7283,00:38:54,01:06:38,01:22:05,01:21:56
6301,00:38:24,01:06:31,01:22:05,01:22:01
3780,00:38:10,01:06:26,01:22:24,01:22:18
5210,00:38:55,01:06:39,01:22:33,01:22:24
460,00:38:05,01:06:40,01:22:44,01:22:29
7905,00:39:11,01:07:27,01:22:34,01:22:30
4785,00:37:19,01:06:37,01:22:36,01:22:34
7085,00:39:07,01:07:12,01:22:44,01:22:36
983,00:39:17,01:07:27,01:22:56,01:22:39
1876,00:38:46,01:07:06,01:22:47,01:22:44
6416,00:38:38,01:07:05,01:22:56,01:22:49
1296,00:39:27,01:07:24,01:22:56,01:22:50
2170,00:39:29,01:07:38,01:23:09,01:22:54
3783,00:39:07,01:07:18,01:23:04,01:22:56
4721,00:38:37,01:07:04,01:23:07,01:23:01
4758,00:39:14,01:07:12,01:23:21,01:23:04
15,00:38:43,01:07:09,01:23:06,01:23:05
10155,00:39:17,01:07:37,01:23:12,01:23:06
4987,00:38:58,01:07:25,01:23:13,01:23:06
10347,00:38:48,01:06:55,01:23:25,01:23:09
2398,00:38:54,01:07:06,01:23:16,01:23:11
3999,00:38:04,01:07:05,01:23:15,01:23:11
5232,00:39:21,01:07:39,01:23:19,01:23:15
4166,00:37:57,01:07:05,01:23:26,01:23:16
5758,00:39:23,01:07:34,01:23:26,01:23:17
6618,00:39:16,01:07:40,01:23:27,01:23:19
6593,00:39:24,01:07:38,01:23:31,01:23:19
10632,00:39:21,01:07:43,01:23:28,01:23:23
10696,00:39:20,01:07:41,01:23:28,01:23:23
10444,00:39:12,01:07:31,01:23:27,01:23:25
10372,00:39:07,01:07:26,01:23:39,01:23:32
5615,00:39:14,01:07:45,01:23:37,01:23:32
6491,00:39:18,01:07:37,01:23:42,01:23:34
10432,00:40:17,01:08:35,01:24:43,01:23:46
5805,00:39:37,01:08:05,01:24:01,01:23:48
2801,00:39:52,01:08:18,01:23:57,01:23:49
7029,00:39:31,01:07:55,01:24:28,01:23:50
1932,00:38:59,01:07:35,01:23:58,01:23:53
7979,00:39:36,01:08:18,01:24:00,01:23:57
11070,00:38:37,01:07:48,01:24:12,01:23:59
7814,00:40:17,01:08:51,01:24:17,01:24:07
10667,00:40:32,01:08:58,01:24:48,01:24:12
4059,00:39:24,01:08:22,01:24:23,01:24:18
10893,00:39:17,01:08:13,01:24:43,01:24:20
439,00:40:12,01:08:45,01:24:56,01:24:31
3600,00:39:41,01:08:55,01:25:15,01:24:37
3428,00:39:11,01:08:17,01:24:41,01:24:38
7269,00:40:00,01:08:50,01:24:51,01:24:41
7220,00:39:43,01:08:37,01:25:04,01:24:41
3576,00:40:06,01:08:40,01:25:19,01:24:44
4091,00:39:07,01:08:13,01:24:50,01:24:46
4145,00:41:13,01:09:52,01:25:12,01:25:00
2506,00:38:29,01:07:35,01:25:08,01:25:01
4113,00:39:43,01:09:03,01:25:42,01:25:02
10462,00:40:42,01:09:39,01:25:13,01:25:10
4259,00:40:05,01:09:20,01:25:24,01:25:19
1788,00:40:19,01:09:19,01:25:27,01:25:20
4,00:41:12,01:09:43,01:25:34,01:25:22
5787,00:40:14,01:09:25,01:26:17,01:25:37
6035,00:40:01,01:09:34,01:25:54,01:25:50
7964,00:39:52,01:09:19,01:25:59,01:25:52
2185,00:39:13,01:09:08,01:26:01,01:25:55
2835,00:39:30,01:09:11,01:26:02,01:25:59
6099,00:40:23,01:09:48,01:26:10,01:26:05
5706,00:38:46,01:09:08,01:26:13,01:26:08
5332,00:40:51,01:10:12,01:26:20,01:26:14
10065,00:40:31,01:10:10,01:26:24,01:26:16
10235,00:39:23,01:09:05,01:26:47,01:26:24
10792,00:40:34,01:10:02,01:26:41,01:26:33
6515,00:39:35,01:09:34,01:26:39,01:26:37
10204,00:41:36,01:10:40,01:27:06,01:26:38
4889,00:41:17,01:10:38,01:26:57,01:26:39
2677,00:41:09,01:10:38,01:26:47,01:26:39
1880,00:41:12,01:10:43,01:26:58,01:26:42
6784,00:41:24,01:10:50,01:26:53,01:26:43
5401,00:40:33,01:10:00,01:26:50,01:26:43
2578,00:40:34,01:10:27,01:27:04,01:26:48
3835,00:39:42,01:09:32,01:26:55,01:26:48
5172,00:40:45,01:10:34,01:27:03,01:26:52
3472,00:41:07,01:10:45,01:27:11,01:27:02
3193,00:40:20,01:10:06,01:27:13,01:27:03
10502,00:40:43,01:10:24,01:27:09,01:27:05
6055,00:41:05,01:10:33,01:27:26,01:27:05
