running_id,10km,17km,gross_time,net_time
2,00:31:13,00:54:26,01:07:00,01:06:59
5,00:32:46,00:57:55,01:11:50,01:11:49
1821,00:34:24,00:59:38,01:13:21,01:13:19
9187,00:34:43,01:00:17,01:14:23,01:14:21
7586,00:34:29,01:00:16,01:15:07,01:15:05
9255,00:35:27,01:01:04,01:15:37,01:15:32
3247,00:35:50,01:02:16,01:16:41,01:16:38
4,00:34:55,01:01:49,01:16:49,01:16:47
476,00:35:33,01:02:26,01:17:17,01:17:15
8519,00:36:27,01:03:26,01:17:54,01:17:51
3415,00:35:09,01:02:50,01:17:57,01:17:54
6725,00:36:32,01:03:20,01:18:04,01:17:55
6,00:36:37,01:03:25,01:18:18,01:18:15
8908,00:37:10,01:03:53,01:18:33,01:18:22
6010,00:37:35,01:03:59,01:18:37,01:18:34
7075,00:37:49,01:04:02,01:18:49,01:18:47
1562,00:37:35,01:04:28,01:19:11,01:19:08
5744,00:36:56,01:04:16,01:19:22,01:19:19
3089,00:37:18,01:04:48,01:19:56,01:19:54
1860,00:37:30,01:05:07,01:20:03,01:19:55
15,00:36:41,01:04:54,01:19:58,01:19:56
9802,00:36:50,01:04:44,01:20:07,01:20:03
6987,00:37:01,01:04:45,01:20:21,01:20:17
4969,00:37:43,01:05:05,01:20:37,01:20:29
6544,00:37:02,01:05:10,01:20:32,01:20:29
4944,00:37:59,01:06:09,01:21:19,01:21:16
5208,00:37:01,01:05:27,01:21:27,01:21:22
8121,00:37:22,01:06:06,01:21:29,01:21:25
8960,00:37:43,01:06:09,01:21:33,01:21:31
6528,00:36:36,01:06:06,01:21:44,01:21:41
7192,00:38:01,01:06:22,01:22:12,01:22:09
7284,00:37:35,01:06:08,01:22:22,01:22:20
8151,00:38:19,,01:22:27,01:22:22
3849,00:38:25,01:07:16,01:22:40,01:22:36
7267,00:38:44,01:07:39,01:23:18,01:23:12
8105,00:37:43,01:07:19,01:23:20,01:23:15
6495,00:38:39,01:07:27,01:23:25,01:23:17
4039,00:38:45,01:07:25,01:23:23,01:23:18
868,00:39:12,01:07:50,01:23:27,01:23:21
8181,00:38:58,01:07:48,01:23:29,01:23:22
2791,00:39:32,01:08:07,01:24:49,01:23:22
8423,00:38:34,01:07:29,01:23:25,01:23:24
592,00:38:44,01:07:43,01:23:39,01:23:26
4915,00:38:58,01:07:53,01:23:30,01:23:27
8450,00:38:16,01:07:21,01:23:35,01:23:32
2242,00:40:06,01:08:23,01:24:19,01:23:34
8627,00:38:18,01:07:34,01:23:39,01:23:36
5207,00:37:19,01:07:11,01:23:42,01:23:37
8159,00:38:35,01:07:53,01:23:52,01:23:45
8548,00:39:30,01:08:21,01:23:51,01:23:45
8907,00:38:22,01:07:24,01:23:52,01:23:48
9037,00:39:16,01:08:05,01:23:53,01:23:49
4378,00:38:44,01:07:56,01:24:05,01:23:54
9073,00:39:36,01:08:36,01:24:52,01:24:16
